condition,behavior_condition,root_id,priority_score,abs_score,score,target_direction,side,cell_class,cell_type,hemibrain_type,top_nt,mean_approach_margin,behavioral_side_asymmetry,memory_axis_abs_mass,response_laterality_abs,min_empirical_fdr_q
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940610964946,0.033573536999999994,0.02919438,0.026653089,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940630864847,0.0324751375,0.02823925,0.02546863,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940621828443,0.025397048499999998,0.02208439,0.018316755,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940630075703,0.0249225815,0.02167181,0.01786974,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940628734376,0.022078709699999997,0.019198878,0.018050408,activated,right,MBON,MBON04,MBON04,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940623377802,0.0194225409,0.016889166,0.01605063,activated,left,MBON,MBON16,MBON16,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940624117245,0.016417480499999998,0.01427607,0.0029159088,activated,right,MBON,MBON01,MBON01,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940631758393,0.016351258799999997,0.013626049,0.010426703,activated,right,DAN,PPL103,PPL103,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940620975696,0.2343215,0.1874572,0.101870656,activated,left,MBIN,DPM,DPM,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940624547622,0.212470625,0.1699765,0.13000159,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940624590316,0.07390049499999998,0.0642613,0.059323393,activated,right,MBON,MBON03,MBON03,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940645304430,0.040605947999999996,0.03530952,0.03292494,activated,left,MBON,MBON13,MBON13,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940630864847,0.035701959299999995,0.031045182,0.027770739,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940610964946,0.03227726275,0.028067185,0.025117716,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940660053121,0.0256481472,0.021373456,0.020062344,activated,left,DAN,PAM06,PAM06,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940630075703,0.01982596665,0.017239971,0.013595973,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940621828443,0.01896908785,0.016494859,0.013136555,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940630496374,0.01690996455,0.014704317,-0.014704317,suppressed,right,MBON,MBON05,MBON05,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940631758393,0.0157147596,0.013095633,0.009614332,activated,right,DAN,PPL103,PPL103,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,,720575940638774606,0.013913262349999999,0.012098489,0.011406425,activated,left,MBON,MBON17,MBON17,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940624547622,0.2544734125,0.20357873,0.11405723,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940620975696,0.1091799625,0.08734397,-0.006284902,suppressed,left,MBIN,DPM,DPM,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940638028607,0.050329175,0.0437645,0.018964626,activated,right,MBON,MBON06,MBON06,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940617302365,0.034425203999999994,0.02993496,0.020166876,activated,left,MBON,MBON07,MBON07,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940652390134,0.03397904425,0.029546995,0.01974018,activated,left,MBON,MBON07,MBON07,glutamate,,,,,
